Ticker,Sharpe,Sortino,CAGR
ABEV,0.03664485774143674,0.07404770767544332,0.061284093640944226
ACER,1.5253271804133532,4.209869468554555,2.624536319073562
ACST,0.19682303813370997,0.42086229812282544,0.3900123801229145
ADT,3.126140319176131,8.847786845004821,4.025168271861946
AER,1.5965675085769326,3.682680838192799,0.5730833282385832
AGCO,1.3647453849746305,3.2399494949235037,0.6159349360466329
AGTC,0.3168913800195644,1.0635005632801002,0.6141828745632183
AIM,-0.9616019708050397,-1.5276198533522656,-0.9537534984155762
AKRO,-0.5200621013545472,-1.063475801538915,-0.5460651784172564
ALK,0.9916110851698527,2.3696054249160787,0.4074326205016685
AMSWA,0.536509562466451,1.2431741546594886,0.3249691031749977
ANIX,-0.7892633403558448,-1.3803572526527301,-0.5130239401213078
APLT,4.3636115178887405,13.973601889864787,22.041585058032563
AQN,1.168588202212247,2.6677685420323645,0.32867210959470516
ARKR,0.928895916293565,2.5447184877250684,0.33956517706603284
AT,-0.12159512925596419,-0.2998458058848885,0.0
AVTR,0.6238529021450455,1.4605347513562008,0.49670993876472713
AYI,0.557031712693923,0.9433517866468903,0.3735809601201536
BAK,0.16708302527532842,0.34281697349201157,0.1685650810867625
BBIO,0.4313648463381957,1.0925708037352944,0.7552569726510252
BCO,0.9159159971933482,1.9756149489862893,0.43808306543231357
BEDU,0.055386176607846734,0.15464600679976703,0.08262462940519044
BG,0.6399959470912363,1.2088255571369537,0.2964377091646069
BKD,-0.5068932451813898,-1.028672320309218,-0.22343405242272374
BLNK,-0.809249750023901,-2.3079421056820055,-0.5702018472306083
BPOPM,0.14067836876028653,0.31619986484330154,0.08445568702744599
BURL,1.4180445370560189,7.232041899896299,1.182419282030362
BYM,-0.09221462898584074,-0.2054541906222978,0.035976373299140274
CALB,0.40710360950740376,0.7671931859833718,0.13075073409333715
CATC,0.3935288027225141,0.9567953703142772,0.2220213898347232
CEI,-0.6769026477180121,-2.2868224716942036,-0.9943066088132273
CHA,-0.5441361762921434,-1.237670527113757,-0.12070583653017153
CLBK,1.0910023679723684,2.340851782824284,0.3370564051186782
CLPT,1.4797875245294498,3.3981556663734467,1.837520189840267
CNET,-0.06403469977099939,-0.1272031618667015,-0.018942401780315254
CODI,2.233943051759372,4.999645211353383,1.3993447639683247
CPRX,-0.7809532049549118,-1.2638459724083868,-0.6229549858426697
CRWD,-1.059276836849336,-2.343383713614155,-0.7952565363945802
CTVA,-0.05270296837180744,-0.11816350631840089,0.018563091768102558
CVGW,-0.11283832738258648,-0.2660087740492896,0.00034995819868099964
CXW,-0.16695163529050502,-0.414086700630294,-0.03222124645400315
DDF,1.8106291156380987,3.9209452441557646,0.8334941698813023
DIN,0.6572585687188354,1.3279904105345979,0.3756331579514529
DLTR,-0.09001768912115594,-0.12351414225416295,-0.00386045763859888
DS,-1.0241823615252723,-2.160237602718501,-0.5367954463387614
ECCY,-0.14802235196876742,-0.3330961862332918,0.02617797459198612
EFOI,0.003557976689557359,0.008563114732456448,0.0512151975729922
ELA,1.5725985119498749,4.801552440616873,2.9679315481980506
ENB,2.541204184344787,4.9099352523701505,0.6948546986308417
EOG,0.5459930443999843,1.3914210024041263,0.3932980851375767
ESLT,0.22916447156853856,0.4981788215524646,0.11739684121682781
EVOK,1.7047154690568485,6.215084828818178,3.8700884928775974
EXR,-1.0487116005856174,-2.0918244148958633,-0.1975166881058248
FB,1.084358415634738,2.473317557497044,0.46859883225619714
FCPT,0.05837390698302174,0.12820129288738305,0.05983473876280909
FFA,1.3825811122339013,3.482104350183888,0.41260469713461534
FIBK,0.6997999984096941,1.552738498710222,0.25699179686924567
FLIC,1.3891553829346623,3.3855650635666428,0.5122022182094292
FMC,1.2069825536592376,3.0527981872267143,0.5790254472949907
FORTY,0.5959010170680911,1.7488819332812688,0.4547820724685496
FXNC,0.5295064133781554,1.1633138410026822,0.38941699852271694
