Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-01-29,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,90400,0.0,0
2004-01-30,4.887008666992187,4.887008666992187,4.884566327928797,4.8870086669921875,18100,0.0,0
2004-02-02,4.887008666992187,4.887008666992187,4.884566327928797,4.8870086669921875,25800,0.0,0
2004-02-03,4.887006737818502,4.887006737818502,4.884564399719238,4.884564399719238,23000,0.0,0
2004-02-04,4.884566327928797,4.887008666992187,4.884566327928797,4.8870086669921875,11800,0.0,0
2004-02-05,4.887008666992187,4.887008666992187,4.884566327928797,4.8870086669921875,11000,0.0,0
2004-02-06,4.884566327928797,4.896777557417201,4.884566327928797,4.8870086669921875,15100,0.0,0
2004-02-09,4.8870063598533475,4.906544597307986,4.8845640219429765,4.896775245666504,26500,0.0,0
2004-02-10,4.887008232311356,4.894335248849815,4.887008232311356,4.891892910003662,17400,0.0,0
2004-02-11,4.887008666992187,4.894335684182357,4.884566327928797,4.8870086669921875,26400,0.0,0
2004-02-12,4.891893345118967,4.891893345118967,4.887008666992187,4.8870086669921875,8300,0.0,0
2004-02-13,4.8845640219429765,4.896775245666504,4.8845640219429765,4.896775245666504,67300,0.0,0
2004-02-17,4.8894490759177645,4.894333752116291,4.884564399719238,4.884564399719238,23100,0.0,0
2004-02-18,4.887008666992187,4.891893345118967,4.884566327928797,4.8870086669921875,108500,0.0,0
2004-02-19,4.884566327928797,4.887008666992187,4.884566327928797,4.8870086669921875,19300,0.0,0
2004-02-20,4.887006737818502,4.8894490759177645,4.884564399719238,4.884564399719238,21500,0.0,0
2004-02-23,4.884566327928797,4.887008666992187,4.884566327928797,4.8870086669921875,56700,0.0,0
2004-02-24,4.884566327928797,4.887008666992187,4.884566327928797,4.8870086669921875,67600,0.0,0
2004-02-25,4.887006737818502,4.887006737818502,4.884564399719238,4.884564399719238,26400,0.0,0
2004-02-26,4.884566327928797,4.887008666992187,4.884566327928797,4.8870086669921875,64100,0.0,0
2004-02-27,4.887006737818502,4.887006737818502,4.884564399719238,4.884564399719238,82500,0.0,0
2004-03-01,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,373600,0.0,0
2004-03-02,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,23700,0.0,0
2004-03-03,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,56400,0.0,0
2004-03-04,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,44100,0.0,0
2004-03-05,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,15600,0.0,0
2004-03-08,4.887006737818502,4.887006737818502,4.884564399719238,4.884564399719238,24900,0.0,0
2004-03-09,4.884564399719238,4.887006737818502,4.884564399719238,4.884564399719238,67900,0.0,0
2004-03-10,4.884564399719238,4.8894490759177645,4.884564399719238,4.884564399719238,38600,0.0,0
